site,date,non.salad,salad,salad.ratio,Total.meals,Product.source,Florida,FTS,Other.Source,FTS.Florida,FTS.Start,White,Black,Hispanic,Asian,Other,Asian.Other,Total,Offerd.BC,Offered.Salad,Offered.Mexican,Offered.Pizza,Offered.Sandwich,Offered.HB,Offered.Italian,Offered.Other,Mandarin,Chef ,Taco,Chicken.Chop,Fajita,Chicken.Tender,Salad.LO ,Chicken.Smacker,Total Students,Free Lunch,Reduced Lunch,Free,Reduced,Paid
Terwilliger,9/11/2015,488,10,0.0201,498,1,0,0,1,0,0,21.8,53.9,12.5,0,10.8,10.8,99,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,680,496,11,0.729411765,0.016176471,0.254411765
Williams,9/11/2015,433,37,0.0787,470,1,0,0,1,0,0,11,73.1,2.8,9.2,3.7,12.9,99.8,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,628,435,3,0.692675159,0.00477707,0.302547771
Finley,9/14/2015,297,10,0.0326,307,1,0,0,1,0,0,36.6,26.4,19.9,11.9,4.9,16.8,99.7,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,650,246,3,0.378461538,0.004615385,0.616923077
Foster,9/14/2015,358,18,0.0479,376,1,0,0,1,0,0,32.1,42.7,9.1,6.9,9,15.9,99.8,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,529,280,12,0.529300567,0.02268431,0.448015123
Glen,9/14/2015,144,2,0.0137,146,1,0,0,1,0,0,55.7,25,8.7,2,7.9,9.9,99.3,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,499,244,21,0.488977956,0.042084168,0.468937876
Idylwild ,9/14/2015,601,57,0.0866,658,1,0,0,1,0,0,22.4,54,12.4,4.7,5.4,10.1,98.9,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,803,575,12,0.716064757,0.01494396,0.268991283
Lake.Forest ,9/14/2015,345,10,0.0282,355,1,0,0,1,0,0,14.7,76.7,2.7,0,4.9,4.9,99,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,352,312,1,0.886363636,0.002840909,0.110795455
Littlewood ,9/14/2015,498,23,0.0441,521,1,0,0,1,0,0,41.1,32.5,13.6,4.4,8.3,12.7,99.9,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,720,333,13,0.4625,0.018055556,0.519444444
Meadowbrook,9/14/2015,251,5,0.0195,256,1,0,0,1,0,0,54.7,20.2,10.4,5.8,8.6,14.4,99.7,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,810,256,35,0.316049383,0.043209877,0.640740741
Metcalfe,9/14/2015,260,10,0.037,270,1,0,0,1,0,0,7.3,88.3,0,0,0,0,95.6,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,316,262,2,0.829113924,0.006329114,0.164556962
Newberry,9/14/2015,363,17,0.0447,380,1,0,0,1,0,0,61.5,16.7,12,0,8.2,8.2,98.4,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,609,261,11,0.428571429,0.018062397,0.553366174
Norton,9/14/2015,452,23,0.0484,475,1,0,0,1,0,0,48.4,27.2,8.6,5.3,10.1,15.4,99.6,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,673,0,0,0,0,1
Rawlings,9/14/2015,330,12,0.0351,342,1,0,0,1,0,0,0,91.3,3.8,0,4.1,4.1,99.2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,264,229,0,0.867424242,0,0.132575758
Terwilliger,9/14/2015,488,30,0.0579,518,1,0,0,1,0,0,21.8,53.9,12.5,0,10.8,10.8,99,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,680,496,11,0.729411765,0.016176471,0.254411765
Williams,9/14/2015,348,12,0.0333,360,1,0,0,1,0,0,11,73.1,2.8,9.2,3.7,12.9,99.8,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,628,435,3,0.692675159,0.00477707,0.302547771
Finley,9/15/2015,269,4,0.0147,273,1,0,0,1,0,0,36.6,26.4,19.9,11.9,4.9,16.8,99.7,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,650,246,3,0.378461538,0.004615385,0.616923077
Foster,9/15/2015,365,30,0.0759,395,1,0,0,1,0,0,32.1,42.7,9.1,6.9,9,15.9,99.8,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,529,280,12,0.529300567,0.02268431,0.448015123
Glen,9/15/2015,141,16,0.1019,157,1,0,0,1,0,0,55.7,25,8.7,2,7.9,9.9,99.3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,499,244,21,0.488977956,0.042084168,0.468937876
Idylwild ,9/15/2015,501,57,0.1022,558,1,0,0,1,0,0,22.4,54,12.4,4.7,5.4,10.1,98.9,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,803,575,12,0.716064757,0.01494396,0.268991283
Lake.Forest ,9/15/2015,315,26,0.0762,341,1,0,0,1,0,0,14.7,76.7,2.7,0,4.9,4.9,99,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,352,312,1,0.886363636,0.002840909,0.110795455
Littlewood ,9/15/2015,469,48,0.0928,517,1,0,0,1,0,0,41.1,32.5,13.6,4.4,8.3,12.7,99.9,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,720,333,13,0.4625,0.018055556,0.519444444
Meadowbrook,9/15/2015,292,5,0.0168,297,1,0,0,1,0,0,54.7,20.2,10.4,5.8,8.6,14.4,99.7,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,810,256,35,0.316049383,0.043209877,0.640740741
Metcalfe,9/15/2015,264,20,0.0704,284,1,0,0,1,0,0,7.3,88.3,0,0,0,0,95.6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,316,262,2,0.829113924,0.006329114,0.164556962
Newberry,9/15/2015,346,18,0.0495,364,1,0,0,1,0,0,61.5,16.7,12,0,8.2,8.2,98.4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,609,261,11,0.428571429,0.018062397,0.553366174
Norton,9/15/2015,415,40,0.0879,455,1,0,0,1,0,0,48.4,27.2,8.6,5.3,10.1,15.4,99.6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,673,0,0,0,0,1
Rawlings,9/15/2015,327,17,0.0494,344,1,0,0,1,0,0,0,91.3,3.8,0,4.1,4.1,99.2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,264,229,0,0.867424242,0,0.132575758
Terwilliger,9/15/2015,491,30,0.0576,521,1,0,0,1,0,0,21.8,53.9,12.5,0,10.8,10.8,99,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,680,496,11,0.729411765,0.016176471,0.254411765
Williams,9/15/2015,355,2,0.0056,357,1,0,0,1,0,0,11,73.1,2.8,9.2,3.7,12.9,99.8,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,628,435,3,0.692675159,0.00477707,0.302547771
Finley,9/16/2015,305,7,0.0224,312,1,0,0,1,0,0,36.6,26.4,19.9,11.9,4.9,16.8,99.7,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,650,246,3,0.378461538,0.004615385,0.616923077
Foster,9/16/2015,386,10,0.0253,396,1,0,0,1,0,0,32.1,42.7,9.1,6.9,9,15.9,99.8,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,529,280,12,0.529300567,0.02268431,0.448015123
Glen,9/16/2015,168,8,0.0455,176,1,0,0,1,0,0,55.7,25,8.7,2,7.9,9.9,99.3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,499,244,21,0.488977956,0.042084168,0.468937876
Idylwild ,9/16/2015,501,71,0.1241,572,1,0,0,1,0,0,22.4,54,12.4,4.7,5.4,10.1,98.9,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,803,575,12,0.716064757,0.01494396,0.268991283
Lake.Forest ,9/16/2015,318,19,0.0564,337,1,0,0,1,0,0,14.7,76.7,2.7,0,4.9,4.9,99,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,352,312,1,0.886363636,0.002840909,0.110795455
Littlewood ,9/16/2015,503,28,0.0527,531,1,0,0,1,0,0,41.1,32.5,13.6,4.4,8.3,12.7,99.9,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,720,333,13,0.4625,0.018055556,0.519444444
Meadowbrook,9/16/2015,288,6,0.0204,294,1,0,0,1,0,0,54.7,20.2,10.4,5.8,8.6,14.4,99.7,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,810,256,35,0.316049383,0.043209877,0.640740741
Metcalfe,9/16/2015,251,20,0.0738,271,1,0,0,1,0,0,7.3,88.3,0,0,0,0,95.6,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,316,262,2,0.829113924,0.006329114,0.164556962
Newberry,9/16/2015,391,30,0.0713,421,1,0,0,1,0,0,61.5,16.7,12,0,8.2,8.2,98.4,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,609,261,11,0.428571429,0.018062397,0.553366174
Norton,9/16/2015,456,29,0.0598,485,1,0,0,1,0,0,48.4,27.2,8.6,5.3,10.1,15.4,99.6,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,673,0,0,0,0,1
Rawlings,9/16/2015,322,17,0.0501,339,1,0,0,1,0,0,0,91.3,3.8,0,4.1,4.1,99.2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,264,229,0,0.867424242,0,0.132575758
Terwilliger,9/16/2015,506,30,0.056,536,1,0,0,1,0,0,21.8,53.9,12.5,0,10.8,10.8,99,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,680,496,11,0.729411765,0.016176471,0.254411765
